#{"t_start": 1756653847.2191644, "env_id": "None"}
r,l,t
14337.38903,288,1.783616
15755.0,288,2.419132
14933.341522,288,3.008496
9278.442535,288,3.658564
15290.0,288,4.328584
15035.0,288,4.933782
15215.0,288,5.517206
14085.0,288,6.148514
13110.0,288,6.726818
14495.0,288,7.341082
14096.510651,288,7.961687
13589.280899,288,8.533172
12150.0,288,9.113729
5550.117645,121,9.375482
15750.0,288,9.964663
14670.0,288,10.535416
11375.0,288,11.130908
14355.0,288,11.717062
14660.0,288,12.293454
14510.0,288,12.916944
10735.0,288,13.497347
14640.0,288,14.059721
14800.0,288,14.659576
14505.0,288,15.232404
16690.0,288,15.807499
14360.0,288,16.397234
13775.0,288,16.9661
16395.0,288,17.664419
13920.0,288,18.252261
15075.0,288,18.823823
15130.0,288,19.399973
13820.0,288,19.988228
14365.0,288,20.547967
14310.0,288,21.124013
15935.0,288,21.719666
15350.0,288,22.290676
16265.0,288,22.884122
15764.766571,288,23.489626
14120.0,288,24.106844
13005.0,288,24.715244
15807.634277,288,25.293617
16220.0,288,25.857847
16925.0,288,26.449822
15725.0,288,27.032727
13080.0,288,27.622421
14470.0,288,28.261654
16565.0,288,28.861289
14820.0,288,29.453402
15175.0,288,30.053137
15890.0,288,30.652471
14665.0,288,31.221792
13270.0,288,31.817368
15440.0,288,32.405135
15125.0,288,33.00574
9380.0,259,33.539841
15855.0,288,34.117161
17025.0,288,34.692947
15670.0,288,35.299324
16260.0,288,35.857632
13635.0,288,36.419871
16640.0,288,37.002203
16255.0,288,37.565068
13315.0,288,38.163615
13885.0,288,38.758366
16030.0,288,39.315509
13675.0,288,39.888418
14535.0,288,40.471646
13800.0,288,41.033864
15355.0,288,41.610136
15140.0,288,42.193674
14215.0,288,42.77684
13965.0,288,43.411274
14115.0,288,44.010088
17170.0,288,44.595306
12680.0,288,45.267832
14815.0,288,45.891639
13820.0,288,46.499125
15315.0,288,47.156323
12930.0,288,47.771795
17525.0,288,48.362038
13085.010376,288,48.955793
15624.919464,288,49.539045
15715.0,288,50.108595
15190.0,288,50.697719
12385.0,288,51.290704
15615.0,288,51.89458
16425.0,288,52.50879
13820.0,288,53.140284
13985.0,288,53.749537
15880.0,288,54.379879
14920.0,288,54.981795
16095.0,288,55.618562
15205.0,288,56.251748
14965.0,288,56.843428
15660.0,288,57.425479
15885.0,288,58.019789
8685.0,288,58.609625
16825.0,288,59.195302
16035.0,288,59.779485
17300.0,288,60.341879
15655.0,288,60.928824
13195.0,288,61.516149
16550.0,288,62.082823
14430.0,288,62.666388
16700.0,288,63.248364
14835.0,288,63.842675
15035.0,288,64.44243
16210.0,288,65.026446
16830.0,288,65.597251
16170.0,288,66.188245
16345.0,288,66.754035
15575.0,288,67.313014
17960.0,288,67.88836
17045.0,288,68.47838
15285.0,288,69.044655
17860.0,288,69.631585
15275.0,288,70.198264
17030.0,288,70.757525
14690.0,288,71.336352
14925.0,288,71.890243
13390.0,288,72.449943
15410.0,288,73.023543
14340.0,288,73.60391
15140.0,288,74.167949
15065.0,288,74.750231
17475.0,288,75.314948
16530.0,288,75.872974
17035.0,288,76.450552
15345.0,288,77.003572
15800.0,288,77.564835
15065.0,288,78.142211
13385.0,288,78.720391
15040.0,288,79.28611
16070.0,288,79.865249
15015.0,288,80.418571
12985.0,288,80.977181
15400.0,288,81.549744
16280.0,288,82.100945
16620.0,288,82.665662
15080.0,288,83.231917
15715.0,288,83.813467
16020.0,288,84.375162
16265.0,288,84.938251
14360.0,288,85.493418
17025.0,288,86.063458
14130.0,288,86.62358
16165.0,288,87.17296
14905.0,288,87.752698
12230.0,288,88.321976
15715.0,288,88.918868
16785.0,288,89.502391
17160.0,288,90.063853
17930.0,288,90.617509
14370.0,288,91.192705
15425.0,288,91.771721
14950.0,288,92.32455
13975.0,288,92.930296
13540.0,288,93.490972
13655.0,288,94.071534
14700.0,288,94.646623
14630.0,288,95.205334
13955.0,288,95.758725
14395.0,288,96.338556
15355.0,288,96.892073
16570.0,288,97.456853
15740.0,288,98.041357
15620.0,288,98.605538
16575.0,288,99.187215
15915.0,288,99.749259
13940.0,288,100.30278
16590.0,288,100.870327
16250.0,288,101.434938
13925.0,288,101.98972
16310.0,288,102.546452
13005.0,288,103.12398
16395.0,288,103.679088
16230.0,288,104.26474
15905.0,288,104.831085
15375.0,288,105.388745
15715.0,288,105.956673
16375.0,288,106.523116
12725.0,288,107.07758
15830.0,288,107.647133
15950.0,288,108.242473
12765.0,288,108.814923
16855.0,288,109.430964
14590.0,288,110.007403
14670.0,288,110.561843
14975.0,288,111.141639
14710.0,288,111.718991
15480.0,288,112.280958
10350.0,288,112.867595
17280.0,288,113.44923
17420.0,288,114.007373
16125.0,288,114.611671
17450.0,288,115.189866
14770.0,288,115.753671
16425.0,288,116.335897
13690.0,288,116.919385
15880.0,288,117.477091
15210.0,288,118.061393
15155.0,288,118.624162
16325.0,288,119.18471
16210.0,288,119.78949
16005.0,288,120.35452
13730.0,288,120.970286
15755.0,288,121.550888
14345.0,288,122.114691
12195.0,288,122.668805
17815.0,288,123.256554
14460.0,288,123.813
16325.0,288,124.38902
15865.0,288,124.98767
13340.0,288,125.546504
15105.0,288,126.107727
16375.0,288,126.698422
13880.0,288,127.257051
15055.0,288,127.815079
16760.0,288,128.404562
15580.0,288,128.967435
15805.0,288,129.55152
13120.0,288,130.159407
16155.0,288,130.719737
13630.0,288,131.278636
15665.0,288,131.862685
17755.0,288,132.421179
15915.0,288,132.976784
16550.0,288,133.559561
17280.0,288,134.115899
11855.0,288,134.708453
15790.0,288,135.299212
16060.0,288,135.846312
16440.0,288,136.41404
18260.0,288,136.993974
16770.0,288,137.547238
15370.0,288,138.108631
17885.0,288,138.68423
16715.0,288,139.241587
15945.0,288,139.832318
16805.0,288,140.419065
12620.0,288,140.977959
16505.0,288,141.543837
14650.0,288,142.124649
15545.0,288,142.680517
15120.0,288,143.259529
16690.0,288,143.835478
15770.0,288,144.387939
14615.0,288,144.988811
15175.0,288,145.570181
17600.0,288,146.127574
16400.0,288,146.699866
15465.0,288,147.267494
13425.0,288,147.824892
15955.0,288,148.405135
15415.0,288,148.978037
15245.0,288,149.531013
14925.0,288,150.129945
16120.0,288,150.726896
14825.0,288,151.284078
14105.0,288,151.862285
14420.0,288,152.428584
16500.0,288,152.984973
15080.0,288,153.562654
12640.0,288,154.134839
15365.0,288,154.694363
17115.0,288,155.296714
15815.0,288,155.858712
16635.0,288,156.413213
15420.0,288,156.992004
14815.0,288,157.560915
17330.0,288,158.131994
17065.0,288,158.707799
13100.0,288,159.266819
14590.0,288,159.825932
16800.0,288,160.433234
15410.0,288,161.000499
14385.0,288,161.558787
15930.0,288,162.139071
16380.0,288,162.70844
14910.0,288,163.263987
11975.0,288,163.847824
16320.0,288,164.409903
15425.0,288,164.967918
9450.0,288,165.576771
16145.0,288,166.140082
14270.0,288,166.694534
18515.0,288,167.276217
9660.0,288,167.842005
17065.0,288,168.406741
17345.0,288,168.998591
14940.0,288,169.563914
12565.0,288,170.140741
15695.0,288,170.758696
15395.0,288,171.324321
16295.0,288,171.879904
15980.0,288,172.460459
17565.0,288,173.024113
12075.0,288,173.589433
10810.0,288,174.179897
13635.0,288,174.738954
14830.0,288,175.327157
15795.0,288,175.9097
14685.0,288,176.470915
16285.0,288,177.039024
15165.0,288,177.621917
17800.0,288,178.179575
11775.0,288,178.743017
15240.0,288,179.315982
15025.0,288,179.870286
15260.0,288,180.461997
17545.0,288,181.033592
14295.0,288,181.584255
15215.0,288,182.161185
15930.0,288,182.741514
16775.0,288,183.299772
16005.0,288,183.878123
13805.0,288,184.446878
16025.0,288,185.003484
15290.0,288,185.598383
15645.0,288,186.177246
15145.0,288,186.738843
16690.0,288,187.306943
15905.0,288,187.883275
16960.0,288,188.446177
16020.0,288,189.019819
15950.0,288,189.593069
15185.0,288,190.147784
13575.0,288,190.777162
14190.0,288,191.349452
16535.0,288,191.909241
13495.0,288,192.500749
15210.0,288,193.106242
14650.0,288,193.664132
11615.0,288,194.245173
15925.0,288,194.81366
16845.0,288,195.385095
16520.0,288,195.990735
15135.0,288,196.560564
12905.0,288,197.118159
16030.0,288,197.698602
15675.0,288,198.263951
15385.0,288,198.829291
16395.0,288,199.444424
15655.0,288,200.002805
13295.0,288,200.565224
14875.0,288,201.178023
17110.0,288,201.73228
